book,function,desc,do not use note,error handling array
misc,connection_aborted,Check whether client disconnected,,
misc,connection_status,Returns connection status bitfield,,
misc,constant,Returns the value of a constant,,
misc,define,Defines a named constant,,
misc,defined,Checks whether a given named constant exists,,
misc,die,Equivalent to exit,does not exist,
misc,eval,Evaluate a string as PHP code,does not exist,
misc,exit,Output a message and terminate the current script,does not exist,
misc,get_browser,Tells what the user's browser is capable of,,
misc,__halt_compiler,Halts the compiler execution,does not exist,
misc,highlight_file,Syntax highlighting of a file,,
misc,highlight_string,Syntax highlighting of a string,,
misc,hrtime,Get the system's high resolution time,,
misc,ignore_user_abort,Set whether a client disconnect should abort script execution,,
misc,pack,Pack data into binary string,,
misc,php_check_syntax,Check the PHP syntax of (and execute) the specified file,does not exist,
misc,php_strip_whitespace,Return source with stripped comments and whitespace,,
misc,sapi_windows_cp_conv,Convert string from one codepage to another,does not exist,
misc,sapi_windows_cp_get,Get process codepage,does not exist,
misc,sapi_windows_cp_is_utf8,Indicates whether the codepage is UTF-8 compatible,does not exist,
misc,sapi_windows_cp_set,Set process codepage,does not exist,
misc,sapi_windows_generate_ctrl_event,Send a CTRL event to another process,does not exist,
misc,sapi_windows_set_ctrl_handler,Set or remove a CTRL event handler,does not exist,
misc,sapi_windows_vt100_support,Get or set VT100 support for the specified stream associated to an output buffer of a Windows console.,does not exist,
misc,show_source,Alias of highlight_file,,
misc,sleep,Delay execution,,
misc,sys_getloadavg,Gets system load average,,
misc,time_nanosleep,Delay for a number of seconds and nanoseconds,,
misc,time_sleep_until,Make the script sleep until the specified time,,
misc,uniqid,Generate a unique ID,,
misc,unpack,Unpack data from binary string,,
misc,usleep,Delay execution in microseconds,,
