book,function,desc,do not use note,error handling array
var,boolval,Get the boolean value of a variable,,
var,debug_zval_dump,Dumps a string representation of an internal zend value to output,,
var,doubleval,Alias of floatval,alias,
var,empty,Determine whether a variable is empty,does not exist,
var,floatval,Get float value of a variable,,
var,get_defined_vars,Returns an array of all defined variables,,
var,get_resource_type,Returns the resource type,,
var,gettype,Get the type of a variable,,
var,import_request_variables,Import GET/POST/Cookie variables into the global scope,does not exist,
var,intval,Get the integer value of a variable,,
var,is_array,Finds whether a variable is an array,,
var,is_bool,Finds out whether a variable is a boolean,,
var,is_callable,Verify that the contents of a variable can be called as a function,,
var,is_countable,Verify that the contents of a variable is a countable value,,
var,is_double,Alias of is_float,alias,
var,is_float,Finds whether the type of a variable is float,,
var,is_int,Find whether the type of a variable is integer,,
var,is_integer,Alias of is_int,alias,
var,is_iterable,Verify that the contents of a variable is an iterable value,,
var,is_long,Alias of is_int,alias,
var,is_null,Finds whether a variable is NULL,,
var,is_numeric,Finds whether a variable is a number or a numeric string,,
var,is_object,Finds whether a variable is an object,,
var,is_real,Alias of is_float,alias,
var,is_resource,Finds whether a variable is a resource,,
var,is_scalar,Finds whether a variable is a scalar,,
var,is_string,Find whether the type of a variable is string,,
var,isset,Determine if a variable is declared and is different than NULL,does not exist,
var,print_r,Prints human-readable information about a variable,,
var,serialize,Generates a storable representation of a value,,
var,settype,Set the type of a variable,,
var,strval,Get string value of a variable,,
var,unserialize,Creates a PHP value from a stored representation,,
var,unset,Unset a given variable,does not exist,
var,var_dump,Dumps information about a variable,,
var,var_export,Outputs or returns a parsable string representation of a variable,,
